video_id,youtube_id,drama_title,candidate_start,candidate_end,accepted,total_score,sharpness_score,expected_season,season_score,detected_season,rejection_reasons
Lovely Runner_01,nypQChEVN0c,선재 업고 튀어,0.15,4.55,False,0.655463,0.66792,봄,0.453,겨울,다른 계절 단서가 더 강함(겨울)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,0.15,4.05,False,0.6921,0.9891,봄,0.14642,가을,입력 계절 단서 부족(봄 0.146) / 다른 계절 단서가 더 강함(가을)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,17.95,22.3,False,0.721065,0.97969,봄,0.40786,가을,다른 계절 단서가 더 강함(가을)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,32.2,37.05,False,0.670822,0.97846,봄,0.12925,가을,입력 계절 단서 부족(봄 0.129) / 다른 계절 단서가 더 강함(가을)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,37.95,44.05,False,0.68418,0.9668,봄,0.24799,가을,암부 비율 초과(35.1%) / 입력 계절 단서 부족(봄 0.248) / 다른 계절 단서가 더 강함(가을)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,44.95,48.55,False,0.685359,0.97127,봄,0.27304,가을,암부 비율 초과(33.0%) / 입력 계절 단서 부족(봄 0.273) / 다른 계절 단서가 더 강함(가을)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,49.45,55.3,False,0.667689,0.96922,봄,0.20378,가을,화면이 너무 어두움(41.8) / 암부 비율 초과(36.0%) / 입력 계절 단서 부족(봄 0.204) / 다른 계절 단서가 더 강함(가을)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,56.2,65.3,False,0.678621,0.9709,봄,0.18237,가을,입력 계절 단서 부족(봄 0.182) / 다른 계절 단서가 더 강함(가을)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,66.2,70.05,False,0.680186,0.99183,봄,0.0977,가을,입력 계절 단서 부족(봄 0.098) / 다른 계절 단서가 더 강함(가을)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,78.55,88.55,False,0.647825,0.96832,봄,0.16343,가을,암부 비율 초과(36.0%) / 입력 계절 단서 부족(봄 0.163) / 다른 계절 단서가 더 강함(가을)
Lovely Runner_02,-0MpUmWNN_k,선재 업고 튀어,91.7,96.05,False,0.658081,0.98116,봄,0.07946,가을,암부 비율 초과(37.1%) / 입력 계절 단서 부족(봄 0.079) / 다른 계절 단서가 더 강함(가을)
