file,duration_s,size_mb,width,height,fps,codec
DIVA_02/DIVA_02_SCENE_01.mp4,10.0,2.88,480,854,30.0,h264
GOBLIN_01/GOBLIN_01_SCENE_01.mp4,3.904,3.57,1920,1080,29.97,h264
GOBLIN_02/GOBLIN_02_SCENE_01.mp4,4.167,1.79,608,1080,30.0,h264
GOBLIN_03/GOBLIN_03_SCENE_01.mp4,10.0,2.08,1280,720,30.0,h264
GOBLIN_03/GOBLIN_03_SCENE_02.mp4,10.0,1.84,1280,720,30.0,h264
GOBLIN_03/GOBLIN_03_SCENE_03.mp4,4.667,1.41,1280,720,30.0,h264
GOBLIN_04/GOBLIN_04_SCENE_01.mp4,7.374,11.51,1920,1080,29.97,h264
HCCC_01/HCCC_01_SCENE_01.mp4,6.406,7.7,1920,1080,29.97,h264
HCCC_01/HCCC_01_SCENE_02.mp4,7.107,9.39,1920,1080,29.97,h264
HCCC_01/HCCC_01_SCENE_03.mp4,10.01,10.91,1920,1080,29.97,h264
HCCC_02/HCCC_02_SCENE_01.mp4,10.01,9.44,1920,1080,29.97,h264
HCCC_02/HCCC_02_SCENE_02.mp4,10.01,17.56,1920,1080,29.97,h264
HCCC_02/HCCC_02_SCENE_03.mp4,10.01,18.31,1920,1080,29.97,h264
LITC_01/LITC_01_SCENE_01.mp4,10.0,9.12,1920,1080,30.0,h264
LITC_01/LITC_01_SCENE_02.mp4,8.1,6.28,1920,1080,30.0,h264
OBS_01/OBS_01_SCENE_01.mp4,4.1,5.92,1920,1080,60.0,h264
OBS_02/OBS_02_SCENE_01.mp4,8.608,3.36,1920,1080,29.97,h264
OBS_02/OBS_02_SCENE_02.mp4,4.104,1.49,1920,1080,29.97,h264
OBS_02/OBS_02_SCENE_03.mp4,5.105,9.46,1920,1080,29.97,h264
OURBLUES_04/OURBLUES_04_SCENE_01.mp4,5.105,2.4,1920,1080,59.94,h264
OURBLUES_05/OURBLUES_05_SCENE_01.mp4,10.0,2.25,608,1080,30.0,h264
OURBLUES_07/OURBLUES_07_SCENE_01.mp4,10.0,20.67,1920,1080,30.0,h264
OURBLUES_07/OURBLUES_07_SCENE_02.mp4,10.0,10.2,1920,1080,30.0,h264
OURBLUES_07/OURBLUES_07_SCENE_03.mp4,10.0,12.43,1920,1080,30.0,h264
TFTO_07/TFTO_07_SCENE_01.mp4,4.104,6.01,1920,1080,29.97,h264
TFTO_07/TFTO_07_SCENE_02.mp4,7.374,13.64,1920,1080,29.97,h264
TFTO_07/TFTO_07_SCENE_03.mp4,4.872,7.34,1920,1080,29.97,h264
WLGYT_01/WLGYT_01_SCENE_01.mp4,9.7,11.04,608,1080,30.0,h264
WLGYT_02/WLGYT_02_SCENE_01.mp4,4.712,3.7,1920,1080,23.976,h264
WLGYT_03/WLGYT_03_SCENE_01.mp4,3.67,1.59,480,854,29.97,h264
WLGYT_03/WLGYT_03_SCENE_02.mp4,8.408,6.25,480,854,29.97,h264
WTWIF_02/WTWIF_02_SCENE_01.mp4,10.01,2.55,480,854,29.97,h264
WTWIF_03/WTWIF_03_SCENE_01.mp4,3.6,5.16,1920,1080,30.0,h264
hotel_deluna_mangsang_02/hotel_deluna_mangsang_02_SCENE_01.mp4,6.873,0.93,480,854,29.97,h264
hotel_deluna_mangsang_02/hotel_deluna_mangsang_02_SCENE_02.mp4,5.873,1.61,480,854,29.97,h264
hotel_deluna_paradise_01/hotel_deluna_paradise_01_SCENE_01.mp4,8.609,1.55,720,720,29.97,h264
hotel_deluna_paradise_01/hotel_deluna_paradise_01_SCENE_02.mp4,3.604,1.66,720,720,29.97,h264
kingdom_changdeok_01/kingdom_changdeok_01_SCENE_01.mp4,10.01,12.99,1920,1080,29.97,h264
kingdom_changdeok_01/kingdom_changdeok_01_SCENE_02.mp4,10.01,18.98,1920,1080,29.97,h264
kingdom_changdeok_01/kingdom_changdeok_01_SCENE_03.mp4,4.604,7.05,1920,1080,29.97,h264
kingdom_changdeok_02/kingdom_changdeok_02_SCENE_01.mp4,3.604,0.66,480,854,29.97,h264
kingdom_changdeok_02/kingdom_changdeok_02_SCENE_02.mp4,5.672,1.9,480,854,29.97,h264
kingdom_gyeongbok_01/kingdom_gyeongbok_01_SCENE_01.mp4,10.01,9.74,1920,1012,29.97,h264
kingdom_gyeongbok_01/kingdom_gyeongbok_01_SCENE_02.mp4,10.01,9.2,1920,1012,29.97,h264
kingdom_gyeongbok_01/kingdom_gyeongbok_01_SCENE_03.mp4,10.01,8.27,1920,1012,29.97,h264
