place_id,place_name,region,city,address,latitude,longitude,coordinate_source,coordinate_source_url,status,notes
P001,수원 화성,경기도,수원시,,37.2827,127.0141,사용자 제공,,확정,관광 중심지 기준
P002,여의도 한강,서울특별시,서울특별시,,37.528391,126.934242,사용자 제공,,확정,이벤트광장 기준
P003,수원대학교,경기도,화성시,,37.2101,126.9793,사용자 제공,,확정,대표 좌표
P004,고창 학원농장,전북특별자치도,고창군,,35.52353,126.53899,사용자 제공,,확정,대표 좌표
P005,전주 한옥마을,전북특별자치도,전주시,,35.81558,127.1498,사용자 제공,,확정,중심 거리·경기전 인근 기준
P006,온빛자연휴양림,충청남도,논산시,,36.2198,127.2985,사용자 제공,,확정,은빛자연휴양림 표기는 온빛자연휴양림으로 통일 필요
P007,한벽굴,전북특별자치도,전주시,,35.81187,127.16081,사용자 제공,,확정,
P008,명진 책 대여점,전북특별자치도,전주시,전북특별자치도 전주시 완산구 서학3길 63,35.8083412217659,127.151738441918,카카오 주소 API,,확정,서학동예술마을 내 촬영지 주소 기준
P009,전주 오목대,전북특별자치도,전주시,전북특별자치도 전주시 완산구 기린대로 55,35.8143819050269,127.154583362895,카카오 로컬 API,http://place.map.kakao.com/8458699,확정,
P010,포항 영일만항,경상북도,포항시,경북 포항시 북구 흥해읍 영일만항로 151,36.110470848669,129.435298666205,카카오 로컬 API,http://place.map.kakao.com/8126046,확정,
P011,제주도 고성오일시장,제주특별자치도,제주시,제주특별자치도 서귀포시 성산읍 고성오조로 93,33.45199979768546,126.91329816476421,카카오 로컬 API,http://place.map.kakao.com/11696879,확정,
P012,비내섬,충청북도,충주시,충북 충주시 소태면 복탄리 908,37.107632452436036,127.81772586221321,카카오 로컬 API,http://place.map.kakao.com/11495420,확정,
P013,강릉 주문진,강원특별자치도,강릉시,,37.8798554564007,128.834204251177,카카오 로컬 API,http://place.map.kakao.com/1873746459,확정,강릉 주문진 대표 촬영지 기준
P014,평창 월정사,강원특별자치도,평창군,강원특별자치도 평창군 진부면 오대산로 374-8,37.73175082498766,128.59212296344094,카카오 로컬 API,http://place.map.kakao.com/8045048,확정,
P015,망상해변,강원특별자치도,동해시,강원특별자치도 동해시 동해대로 6270-10,37.5933739406532,129.090473530107,카카오 로컬 API,http://place.map.kakao.com/11081458,확정,
P016,경복궁,서울특별시,서울특별시,서울 종로구 사직로 161,37.577613288258206,126.97689786832184,카카오 로컬 API,http://place.map.kakao.com/18619553,확정,
P017,창덕궁,서울특별시,서울특별시,서울 종로구 율곡로 99,37.57964694739535,126.99099980677127,카카오 로컬 API,http://place.map.kakao.com/10771162,확정,
P018,영월 주천강,강원특별자치도,영월군,강원특별자치도 영월군 주천면 판운리 488-5,37.2945909669734,128.325270948965,카카오 주소 API,,확정,촬영지 자료에서 확인한 지번 주소 기준
P019,상주 함창역,경상북도,상주시,경북 상주시 함창읍 가야로 3,36.5696577984383,128.174882340074,카카오 로컬 API,http://place.map.kakao.com/10921424,확정,
P020,서천,충청남도,서천군,충남 서천군 장항읍 송림리 산 58-48,36.0184418365009,126.66518032365,카카오 로컬 API,http://place.map.kakao.com/26861048,확정,
P021,청계천,서울특별시,서울특별시,서울 중구 태평로1가 1,37.569074693516065,126.97759212096156,카카오 로컬 API,http://place.map.kakao.com/11512319,확정,청계천 대표 표시 지점으로 청계광장 사용
P022,파라다이스시티,인천광역시,인천광역시,인천 영종구 영종해안남로321번길 186,37.437245732031954,126.45578147120696,카카오 로컬 API,http://place.map.kakao.com/527592042,확정,
